timestamp,model_name,hidden_sizes,epochs,run_number,final_train_loss,final_valid_loss,final_train_accuracy,final_valid_accuracy,epochs_to_final_train,epochs_to_final_valid
20251202_183109,ClassicalModel,[3],400,1,0.5647691488265991,0.5813139081001282,0.9916666746139526,0.9666666388511658,156,159
20251202_183109,ClassicalModel,[3],400,2,0.5661734342575073,0.5879065990447998,0.9916666746139526,0.9666666388511658,172,184
20251202_183109,ClassicalModel,[3],400,3,0.5661464929580688,0.582797646522522,0.9916666746139526,0.9666666388511658,159,106
20251202_183109,ClassicalModel,[3],400,4,0.571841835975647,0.5665061473846436,0.9833333492279053,1.0,130,176
20251202_183109,ClassicalModel,[3],400,5,0.5736364722251892,0.570219874382019,0.9750000238418579,1.0,102,244
20251202_183109,ClassicalModel,[3],400,6,0.5747883319854736,0.5711934566497803,0.9750000238418579,1.0,132,165
20251202_183109,ClassicalModel,[3],400,7,0.5653470754623413,0.6108902096748352,0.9916666746139526,0.9333333373069763,164,106
20251202_183109,ClassicalModel,[3],400,8,0.5657047033309937,0.5824333429336548,0.9916666746139526,0.9666666388511658,158,90
20251202_183109,ClassicalModel,[3],400,9,0.5649641156196594,0.6047306656837463,0.9916666746139526,0.9333333373069763,140,91
20251202_183109,ClassicalModel,[3],400,10,0.5677177906036377,0.591035783290863,0.9916666746139526,0.9666666388511658,145,89
20251202_183109,ClassicalModel,[3],400,11,0.5722609758377075,0.5777455568313599,0.9916666746139526,0.9666666388511658,287,263
20251202_183109,ClassicalModel,[3],400,12,0.5739552974700928,0.5735135674476624,0.9750000238418579,1.0,114,166
20251202_183109,ClassicalModel,[3],400,13,0.5643612742424011,0.6058187484741211,0.9916666746139526,0.9333333373069763,157,84
20251202_183109,ClassicalModel,[3],400,14,0.5662506222724915,0.6045112609863281,0.9916666746139526,0.9333333373069763,165,97
20251202_183109,ClassicalModel,[3],400,15,0.5738658308982849,0.5707201361656189,0.9833333492279053,1.0,144,206
