timestamp,model_name,hidden_sizes,epochs,run_number,final_train_loss,final_valid_loss,final_train_accuracy,final_valid_accuracy,epochs_to_final_train,epochs_to_final_valid
20251203_154637,ClassicalModel_NoRelu_Bias,"[1, 1, 1, 1]",400,1,0.6916706562042236,0.7110518217086792,0.8583333492279053,0.8333333134651184,103,60
20251203_154637,ClassicalModel_NoRelu_Bias,"[1, 1, 1, 1]",400,2,0.6920278072357178,0.7099010348320007,0.8583333492279053,0.8333333134651184,105,68
20251203_154637,ClassicalModel_NoRelu_Bias,"[1, 1, 1, 1]",400,3,0.6930115818977356,0.7082049250602722,0.8583333492279053,0.8666666746139526,87,53
20251203_154637,ClassicalModel_NoRelu_Bias,"[1, 1, 1, 1]",400,4,0.6912255883216858,0.7118281126022339,0.8500000238418579,0.8333333134651184,114,77
20251203_154637,ClassicalModel_NoRelu_Bias,"[1, 1, 1, 1]",400,5,0.693370521068573,0.7093793153762817,0.8416666388511658,0.8666666746139526,102,43
20251203_154637,ClassicalModel_NoRelu_Bias,"[1, 1, 1, 1]",400,6,0.6936490535736084,0.7077137231826782,0.8416666388511658,0.8666666746139526,75,29
20251203_154637,ClassicalModel_NoRelu_Bias,"[1, 1, 1, 1]",400,7,0.6943075060844421,0.7067703008651733,0.8416666388511658,0.8666666746139526,82,59
20251203_154637,ClassicalModel_NoRelu_Bias,"[1, 1, 1, 1]",400,8,0.6919026970863342,0.710011899471283,0.8583333492279053,0.8333333134651184,86,33
20251203_154637,ClassicalModel_NoRelu_Bias,"[1, 1, 1, 1]",400,9,0.69328373670578,0.7090057134628296,0.8500000238418579,0.8666666746139526,100,63
20251203_154637,ClassicalModel_NoRelu_Bias,"[1, 1, 1, 1]",400,10,0.6928951740264893,0.7096642851829529,0.8583333492279053,0.8666666746139526,100,67
20251203_154637,ClassicalModel_NoRelu_Bias,"[1, 1, 1, 1]",400,11,0.6923190355300903,0.7081372737884521,0.8583333492279053,0.8666666746139526,71,31
20251203_154637,ClassicalModel_NoRelu_Bias,"[1, 1, 1, 1]",400,12,0.6910577416419983,0.7116661071777344,0.8500000238418579,0.8333333134651184,98,53
20251203_154637,ClassicalModel_NoRelu_Bias,"[1, 1, 1, 1]",400,13,0.6946843862533569,0.7091609835624695,0.8416666388511658,0.8666666746139526,82,29
20251203_154637,ClassicalModel_NoRelu_Bias,"[1, 1, 1, 1]",400,14,0.6924452185630798,0.7089622020721436,0.8583333492279053,0.8666666746139526,98,34
20251203_154637,ClassicalModel_NoRelu_Bias,"[1, 1, 1, 1]",400,15,0.6918423175811768,0.7087156176567078,0.8500000238418579,0.8666666746139526,99,72
