timestamp,model_name,hidden_sizes,epochs,run_number,final_train_loss,final_valid_loss,final_train_accuracy,final_valid_accuracy,epochs_to_final_train,epochs_to_final_valid
20251203_161139,ClassicalModel_NoRelu_Bias,"[4, 4]",400,1,0.6949393153190613,0.7056963443756104,0.824999988079071,0.8666666746139526,96,74
20251203_161139,ClassicalModel_NoRelu_Bias,"[4, 4]",400,2,0.6919575333595276,0.7115351557731628,0.8583333492279053,0.8333333134651184,94,34
20251203_161139,ClassicalModel_NoRelu_Bias,"[4, 4]",400,3,0.695679783821106,0.7062342166900635,0.824999988079071,0.8333333134651184,60,29
20251203_161139,ClassicalModel_NoRelu_Bias,"[4, 4]",400,4,0.6918758153915405,0.7098795771598816,0.8500000238418579,0.8666666746139526,90,31
20251203_161139,ClassicalModel_NoRelu_Bias,"[4, 4]",400,5,0.6913230419158936,0.7130279541015625,0.8500000238418579,0.8333333134651184,91,29
20251203_161139,ClassicalModel_NoRelu_Bias,"[4, 4]",400,6,0.6928645372390747,0.7081564664840698,0.8583333492279053,0.8666666746139526,91,49
20251203_161139,ClassicalModel_NoRelu_Bias,"[4, 4]",400,7,0.6918759942054749,0.7113187909126282,0.8500000238418579,0.8666666746139526,141,105
20251203_161139,ClassicalModel_NoRelu_Bias,"[4, 4]",400,8,0.6928300857543945,0.7094091773033142,0.8583333492279053,0.8666666746139526,78,32
20251203_161139,ClassicalModel_NoRelu_Bias,"[4, 4]",400,9,0.6928693056106567,0.7082220911979675,0.8583333492279053,0.8666666746139526,94,45
20251203_161139,ClassicalModel_NoRelu_Bias,"[4, 4]",400,10,0.69223952293396,0.7093414068222046,0.8583333492279053,0.8333333134651184,75,34
20251203_161139,ClassicalModel_NoRelu_Bias,"[4, 4]",400,11,0.6922014355659485,0.710992693901062,0.8583333492279053,0.8666666746139526,138,44
20251203_161139,ClassicalModel_NoRelu_Bias,"[4, 4]",400,12,0.6926780343055725,0.7092403173446655,0.8583333492279053,0.8666666746139526,93,48
20251203_161139,ClassicalModel_NoRelu_Bias,"[4, 4]",400,13,0.692105233669281,0.7082949280738831,0.8583333492279053,0.8666666746139526,101,79
20251203_161139,ClassicalModel_NoRelu_Bias,"[4, 4]",400,14,0.6921089291572571,0.7103947997093201,0.8583333492279053,0.8666666746139526,139,104
20251203_161139,ClassicalModel_NoRelu_Bias,"[4, 4]",400,15,0.6937964558601379,0.7092233300209045,0.8416666388511658,0.8666666746139526,84,36
