timestamp,model_name,hidden_sizes,epochs,run_number,final_train_loss,final_valid_loss,final_train_accuracy,final_valid_accuracy,epochs_to_final_train,epochs_to_final_valid
20251204_114722,ClassicalModel_NoReLU_NoBias,"[1, 1, 1, 1]",400,1,0.6920833587646484,0.7103162407875061,0.8583333492279053,0.8333333134651184,94,44
20251204_114722,ClassicalModel_NoReLU_NoBias,"[1, 1, 1, 1]",400,2,0.6933201551437378,0.7088804244995117,0.8500000238418579,0.8666666746139526,92,42
20251204_114722,ClassicalModel_NoReLU_NoBias,"[1, 1, 1, 1]",400,3,0.6932820081710815,0.708850085735321,0.8416666388511658,0.8666666746139526,87,35
20251204_114722,ClassicalModel_NoReLU_NoBias,"[1, 1, 1, 1]",400,4,0.6933431625366211,0.7082625031471252,0.8416666388511658,0.8666666746139526,85,33
20251204_114722,ClassicalModel_NoReLU_NoBias,"[1, 1, 1, 1]",400,5,0.6916773319244385,0.7106854915618896,0.8500000238418579,0.8666666746139526,105,34
20251204_114722,ClassicalModel_NoReLU_NoBias,"[1, 1, 1, 1]",400,6,0.692184567451477,0.711186408996582,0.8583333492279053,0.8333333134651184,110,56
20251204_114722,ClassicalModel_NoReLU_NoBias,"[1, 1, 1, 1]",400,7,0.6934082508087158,0.7073772549629211,0.8416666388511658,0.8666666746139526,92,70
20251204_114722,ClassicalModel_NoReLU_NoBias,"[1, 1, 1, 1]",400,8,0.6932653188705444,0.7089948058128357,0.8416666388511658,0.8666666746139526,73,28
20251204_114722,ClassicalModel_NoReLU_NoBias,"[1, 1, 1, 1]",400,9,0.6942673325538635,0.7087191343307495,0.8416666388511658,0.8666666746139526,71,34
20251204_114722,ClassicalModel_NoReLU_NoBias,"[1, 1, 1, 1]",400,10,0.6920961141586304,0.712105929851532,0.8583333492279053,0.8333333134651184,89,30
20251204_114722,ClassicalModel_NoReLU_NoBias,"[1, 1, 1, 1]",400,11,0.6922367811203003,0.7100153565406799,0.8583333492279053,0.8666666746139526,92,40
20251204_114722,ClassicalModel_NoReLU_NoBias,"[1, 1, 1, 1]",400,12,0.6923460364341736,0.7117484211921692,0.8583333492279053,0.8333333134651184,93,30
20251204_114722,ClassicalModel_NoReLU_NoBias,"[1, 1, 1, 1]",400,13,0.6929639577865601,0.7093541026115417,0.8583333492279053,0.8333333134651184,106,60
20251204_114722,ClassicalModel_NoReLU_NoBias,"[1, 1, 1, 1]",400,14,0.6924076080322266,0.7100236415863037,0.8583333492279053,0.8666666746139526,75,30
20251204_114722,ClassicalModel_NoReLU_NoBias,"[1, 1, 1, 1]",400,15,0.6948376893997192,0.7078672051429749,0.8416666388511658,0.8666666746139526,58,31
