timestamp,model_name,hidden_sizes,epochs,run_number,final_train_loss,final_valid_loss,final_train_accuracy,final_valid_accuracy,epochs_to_final_train,epochs_to_final_valid
20251203_151553,ClassicalModel_ReLU_NoBias,"[1, 1, 1, 1]",400,1,0.6519094109535217,0.6950101852416992,0.8999999761581421,0.8666666746139526,227,151
20251203_151553,ClassicalModel_ReLU_NoBias,"[1, 1, 1, 1]",400,2,0.6424688696861267,0.7012817859649658,0.9166666865348816,0.800000011920929,274,160
20251203_151553,ClassicalModel_ReLU_NoBias,"[1, 1, 1, 1]",400,3,0.6289060115814209,0.6727458238601685,0.925000011920929,0.8666666746139526,270,69
20251203_151553,ClassicalModel_ReLU_NoBias,"[1, 1, 1, 1]",400,4,0.6299238204956055,0.6656696796417236,0.9166666865348816,0.8999999761581421,357,312
20251203_151553,ClassicalModel_ReLU_NoBias,"[1, 1, 1, 1]",400,5,0.632954478263855,0.7105725407600403,0.925000011920929,0.800000011920929,218,49
20251203_151553,ClassicalModel_ReLU_NoBias,"[1, 1, 1, 1]",400,6,0.6450281739234924,0.7274494171142578,0.9166666865348816,0.800000011920929,307,35
20251203_151553,ClassicalModel_ReLU_NoBias,"[1, 1, 1, 1]",400,7,0.6419973373413086,0.7301275134086609,0.9083333611488342,0.800000011920929,288,35
20251203_151553,ClassicalModel_ReLU_NoBias,"[1, 1, 1, 1]",400,8,0.6315391659736633,0.7245822548866272,0.9166666865348816,0.8333333134651184,262,36
20251203_151553,ClassicalModel_ReLU_NoBias,"[1, 1, 1, 1]",400,9,0.6285593509674072,0.6555818915367126,0.925000011920929,0.8999999761581421,270,177
20251203_151553,ClassicalModel_ReLU_NoBias,"[1, 1, 1, 1]",400,10,0.628879964351654,0.6621047258377075,0.9333333373069763,0.8666666746139526,295,124
20251203_151553,ClassicalModel_ReLU_NoBias,"[1, 1, 1, 1]",400,11,0.8052984476089478,0.9699224233627319,0.9083333611488342,0.7666666507720947,272,23
20251203_151553,ClassicalModel_ReLU_NoBias,"[1, 1, 1, 1]",400,12,0.6361724138259888,0.7030823230743408,0.925000011920929,0.8666666746139526,213,54
20251203_151553,ClassicalModel_ReLU_NoBias,"[1, 1, 1, 1]",400,13,0.6532731652259827,0.7035757899284363,0.875,0.8333333134651184,230,100
20251203_151553,ClassicalModel_ReLU_NoBias,"[1, 1, 1, 1]",400,14,0.6476706266403198,0.7014743685722351,0.9083333611488342,0.8333333134651184,252,67
20251203_151553,ClassicalModel_ReLU_NoBias,"[1, 1, 1, 1]",400,15,0.650484025478363,0.7180019617080688,0.8916666507720947,0.8333333134651184,301,63
