timestamp,model_name,hidden_sizes,epochs,run_number,final_train_loss,final_valid_loss,final_train_accuracy,final_valid_accuracy,epochs_to_final_train,epochs_to_final_valid
20251203_151429,ClassicalModel_ReLU_NoBias,"[1, 1, 1]",400,1,0.642950177192688,0.7216160893440247,0.9166666865348816,0.800000011920929,260,52
20251203_151429,ClassicalModel_ReLU_NoBias,"[1, 1, 1]",400,2,0.6637358069419861,0.7013559937477112,0.8916666507720947,0.8333333134651184,216,72
20251203_151429,ClassicalModel_ReLU_NoBias,"[1, 1, 1]",400,3,0.6568533182144165,0.6911121606826782,0.875,0.8666666746139526,219,175
20251203_151429,ClassicalModel_ReLU_NoBias,"[1, 1, 1]",400,4,0.6627514362335205,0.7052562832832336,0.8916666507720947,0.8333333134651184,363,156
20251203_151429,ClassicalModel_ReLU_NoBias,"[1, 1, 1]",400,5,0.6361934542655945,0.7312051653862,0.9166666865348816,0.7666666507720947,234,47
20251203_151429,ClassicalModel_ReLU_NoBias,"[1, 1, 1]",400,6,0.6541994214057922,0.7202928066253662,0.8916666507720947,0.800000011920929,235,42
20251203_151429,ClassicalModel_ReLU_NoBias,"[1, 1, 1]",400,7,0.6601009964942932,0.7135774493217468,0.8999999761581421,0.8333333134651184,301,72
20251203_151429,ClassicalModel_ReLU_NoBias,"[1, 1, 1]",400,8,0.6449440121650696,0.7038467526435852,0.9166666865348816,0.8333333134651184,334,65
20251203_151429,ClassicalModel_ReLU_NoBias,"[1, 1, 1]",400,9,0.6326351761817932,0.7037228941917419,0.925000011920929,0.8333333134651184,236,85
20251203_151429,ClassicalModel_ReLU_NoBias,"[1, 1, 1]",400,10,0.6385928392410278,0.6710268259048462,0.9166666865348816,0.8666666746139526,266,214
20251203_151429,ClassicalModel_ReLU_NoBias,"[1, 1, 1]",400,11,0.6411073207855225,0.6554542779922485,0.9166666865348816,0.8999999761581421,371,333
20251203_151429,ClassicalModel_ReLU_NoBias,"[1, 1, 1]",400,12,0.6362619996070862,0.7363452315330505,0.9166666865348816,0.800000011920929,219,30
20251203_151429,ClassicalModel_ReLU_NoBias,"[1, 1, 1]",400,13,0.6349216103553772,0.7039667963981628,0.9166666865348816,0.8333333134651184,226,77
20251203_151429,ClassicalModel_ReLU_NoBias,"[1, 1, 1]",400,14,0.6560875773429871,0.7309170961380005,0.8999999761581421,0.8333333134651184,245,39
20251203_151429,ClassicalModel_ReLU_NoBias,"[1, 1, 1]",400,15,0.6488956212997437,0.712922990322113,0.8999999761581421,0.8333333134651184,297,44
