timestamp,model_name,hidden_sizes,epochs,run_number,final_train_loss,final_valid_loss,final_train_accuracy,final_valid_accuracy,epochs_to_final_train,epochs_to_final_valid
20251203_151310,ClassicalModel_ReLU_NoBias,"[1, 1]",400,1,0.6358652710914612,0.6762529611587524,0.9083333611488342,0.8999999761581421,284,194
20251203_151310,ClassicalModel_ReLU_NoBias,"[1, 1]",400,2,0.6368097066879272,0.6915088891983032,0.9166666865348816,0.8333333134651184,296,120
20251203_151310,ClassicalModel_ReLU_NoBias,"[1, 1]",400,3,0.660365641117096,0.685211718082428,0.8666666746139526,0.8333333134651184,255,337
20251203_151310,ClassicalModel_ReLU_NoBias,"[1, 1]",400,4,0.6366921067237854,0.7346342206001282,0.9166666865348816,0.800000011920929,211,39
20251203_151310,ClassicalModel_ReLU_NoBias,"[1, 1]",400,5,0.6476420760154724,0.7246401906013489,0.9166666865348816,0.800000011920929,269,39
20251203_151310,ClassicalModel_ReLU_NoBias,"[1, 1]",400,6,0.6367864608764648,0.7082740068435669,0.9166666865348816,0.800000011920929,256,50
20251203_151310,ClassicalModel_ReLU_NoBias,"[1, 1]",400,7,0.6415107250213623,0.6997219324111938,0.9166666865348816,0.8333333134651184,309,64
20251203_151310,ClassicalModel_ReLU_NoBias,"[1, 1]",400,8,0.6548287272453308,0.659635603427887,0.8916666507720947,0.8999999761581421,303,330
20251203_151310,ClassicalModel_ReLU_NoBias,"[1, 1]",400,9,0.6434378027915955,0.6897156238555908,0.8916666507720947,0.8333333134651184,243,121
20251203_151310,ClassicalModel_ReLU_NoBias,"[1, 1]",400,10,0.6311089992523193,0.7023690342903137,0.9166666865348816,0.8333333134651184,241,65
20251203_151310,ClassicalModel_ReLU_NoBias,"[1, 1]",400,11,0.6483472585678101,0.6947524547576904,0.9083333611488342,0.8333333134651184,298,90
20251203_151310,ClassicalModel_ReLU_NoBias,"[1, 1]",400,12,0.6494590044021606,0.7144536972045898,0.9083333611488342,0.8333333134651184,242,60
20251203_151310,ClassicalModel_ReLU_NoBias,"[1, 1]",400,13,0.6380929946899414,0.7023775577545166,0.925000011920929,0.8666666746139526,208,54
20251203_151310,ClassicalModel_ReLU_NoBias,"[1, 1]",400,14,0.6381399035453796,0.7170581817626953,0.9166666865348816,0.8333333134651184,305,140
20251203_151310,ClassicalModel_ReLU_NoBias,"[1, 1]",400,15,0.6374940276145935,0.7079500555992126,0.9166666865348816,0.8333333134651184,319,51
