timestamp,model_name,hidden_sizes,epochs,run_number,final_train_loss,final_valid_loss,final_train_accuracy,final_valid_accuracy,epochs_to_final_train,epochs_to_final_valid
20260103_113824,ClassicalModel_Relu_Bias,"[4, 4, 4]",400,1,0.5627946853637695,0.590367317199707,0.9916666746139526,0.9666666388511658,212,186
20260103_113824,ClassicalModel_Relu_Bias,"[4, 4, 4]",400,2,0.5736739039421082,0.5665158033370972,0.9833333492279053,1.0,155,173
20260103_113824,ClassicalModel_Relu_Bias,"[4, 4, 4]",400,3,0.5683583617210388,0.6123638153076172,0.9833333492279053,0.9333333373069763,171,139
20260103_113824,ClassicalModel_Relu_Bias,"[4, 4, 4]",400,4,0.5751517415046692,0.5748209357261658,0.9750000238418579,1.0,177,204
20260103_113824,ClassicalModel_Relu_Bias,"[4, 4, 4]",400,5,0.5633754134178162,0.5984849333763123,0.9916666746139526,0.9333333373069763,146,89
20260103_113824,ClassicalModel_Relu_Bias,"[4, 4, 4]",400,6,0.5727030634880066,0.5960180163383484,0.9833333492279053,0.9666666388511658,245,208
20260103_113824,ClassicalModel_Relu_Bias,"[4, 4, 4]",400,7,0.5651575326919556,0.6012332439422607,0.9916666746139526,0.9333333373069763,156,89
20260103_113824,ClassicalModel_Relu_Bias,"[4, 4, 4]",400,8,0.5691362619400024,0.6079738736152649,0.9916666746139526,0.9333333373069763,210,166
20260103_113824,ClassicalModel_Relu_Bias,"[4, 4, 4]",400,9,0.5840688347816467,0.6136362552642822,0.9916666746139526,0.9666666388511658,349,326
20260103_113824,ClassicalModel_Relu_Bias,"[4, 4, 4]",400,10,0.5660426616668701,0.5843683481216431,0.9833333492279053,0.9666666388511658,155,116
20260103_113824,ClassicalModel_Relu_Bias,"[4, 4, 4]",400,11,0.5803769826889038,0.6052442193031311,0.9916666746139526,0.9666666388511658,332,258
20260103_113824,ClassicalModel_Relu_Bias,"[4, 4, 4]",400,12,0.8293423056602478,0.8816253542900085,0.6833333373069763,0.5,229,254
20260103_113824,ClassicalModel_Relu_Bias,"[4, 4, 4]",400,13,0.6093072295188904,0.6082741022109985,0.9750000238418579,1.0,372,361
20260103_113824,ClassicalModel_Relu_Bias,"[4, 4, 4]",400,14,0.5739706158638,0.565410315990448,0.9833333492279053,1.0,224,267
20260103_113824,ClassicalModel_Relu_Bias,"[4, 4, 4]",400,15,0.5835351943969727,0.5996230840682983,0.9666666388511658,0.9666666388511658,298,319
