timestamp,model_name,hidden_sizes,epochs,run_number,final_train_loss,final_valid_loss,final_train_accuracy,final_valid_accuracy,epochs_to_final_train,epochs_to_final_valid
20251202_182849,ClassicalModel,"[2, 2, 2, 2]",400,1,0.5667890906333923,0.5945185422897339,0.9916666746139526,0.9333333373069763,175,114
20251202_182849,ClassicalModel,"[2, 2, 2, 2]",400,2,0.5666841864585876,0.6091782450675964,0.9916666746139526,0.9333333373069763,191,137
20251202_182849,ClassicalModel,"[2, 2, 2, 2]",400,3,0.5662898421287537,0.5839638113975525,0.9916666746139526,0.9666666388511658,191,114
20251202_182849,ClassicalModel,"[2, 2, 2, 2]",400,4,0.5647371411323547,0.6011407971382141,0.9916666746139526,0.9333333373069763,164,101
20251202_182849,ClassicalModel,"[2, 2, 2, 2]",400,5,0.574741005897522,0.5703303217887878,0.9750000238418579,1.0,117,151
20251202_182849,ClassicalModel,"[2, 2, 2, 2]",400,6,0.5648750066757202,0.5991981625556946,0.9916666746139526,0.9333333373069763,166,123
20251202_182849,ClassicalModel,"[2, 2, 2, 2]",400,7,0.5638099312782288,0.5902023315429688,0.9916666746139526,0.9666666388511658,132,97
20251202_182849,ClassicalModel,"[2, 2, 2, 2]",400,8,0.5740776062011719,0.5698278546333313,0.9833333492279053,1.0,124,150
20251202_182849,ClassicalModel,"[2, 2, 2, 2]",400,9,0.5681900382041931,0.6046667098999023,0.9916666746139526,0.9333333373069763,174,115
20251202_182849,ClassicalModel,"[2, 2, 2, 2]",400,10,0.5653505921363831,0.5849359035491943,0.9916666746139526,0.9666666388511658,150,124
20251202_182849,ClassicalModel,"[2, 2, 2, 2]",400,11,0.5647220015525818,0.5810049176216125,0.9916666746139526,0.9666666388511658,155,96
20251202_182849,ClassicalModel,"[2, 2, 2, 2]",400,12,0.5729416608810425,0.568404495716095,0.9750000238418579,1.0,86,112
20251202_182849,ClassicalModel,"[2, 2, 2, 2]",400,13,0.5678835511207581,0.5944884419441223,0.9916666746139526,0.9666666388511658,187,142
20251202_182849,ClassicalModel,"[2, 2, 2, 2]",400,14,0.5727704167366028,0.5825899839401245,0.9833333492279053,0.9666666388511658,120,91
20251202_182849,ClassicalModel,"[2, 2, 2, 2]",400,15,0.5664700269699097,0.5919370055198669,0.9916666746139526,0.9666666388511658,204,151
