timestamp,model_name,hidden_sizes,epochs,run_number,final_train_loss,final_valid_loss,final_train_accuracy,final_valid_accuracy
20251111_164615,ClassicalVariableModel_NoBiases,"[5, 5]",400,1,0.6925952434539795,0.7104267477989197,0.8583333492279053,0.8666666746139526
20251111_164615,ClassicalVariableModel_NoBiases,"[5, 5]",400,2,0.6919275522232056,0.7116897702217102,0.8583333492279053,0.8333333134651184
20251111_164615,ClassicalVariableModel_NoBiases,"[5, 5]",400,3,0.6913055181503296,0.7103868126869202,0.8500000238418579,0.8333333134651184
20251111_164615,ClassicalVariableModel_NoBiases,"[5, 5]",400,4,0.6925274133682251,0.7083367705345154,0.8583333492279053,0.8666666746139526
20251111_164615,ClassicalVariableModel_NoBiases,"[5, 5]",400,5,0.6912438273429871,0.7122376561164856,0.8500000238418579,0.8333333134651184
20251111_164615,ClassicalVariableModel_NoBiases,"[5, 5]",400,6,0.6910550594329834,0.7119378447532654,0.8500000238418579,0.8333333134651184
20251111_164615,ClassicalVariableModel_NoBiases,"[5, 5]",400,7,0.6924235820770264,0.7089802026748657,0.8583333492279053,0.8666666746139526
20251111_164615,ClassicalVariableModel_NoBiases,"[5, 5]",400,8,0.6933742761611938,0.7093822956085205,0.8500000238418579,0.8666666746139526
20251111_164615,ClassicalVariableModel_NoBiases,"[5, 5]",400,9,0.6916782855987549,0.7117160558700562,0.8500000238418579,0.8333333134651184
20251111_164615,ClassicalVariableModel_NoBiases,"[5, 5]",400,10,0.691267728805542,0.7130768895149231,0.8500000238418579,0.8333333134651184
20251111_164615,ClassicalVariableModel_NoBiases,"[5, 5]",400,11,0.6911647915840149,0.7112734317779541,0.8500000238418579,0.8333333134651184
20251111_164615,ClassicalVariableModel_NoBiases,"[5, 5]",400,12,0.6950473785400391,0.7075435519218445,0.824999988079071,0.8666666746139526
20251111_164615,ClassicalVariableModel_NoBiases,"[5, 5]",400,13,0.6934700012207031,0.7086983323097229,0.8500000238418579,0.8666666746139526
20251111_164615,ClassicalVariableModel_NoBiases,"[5, 5]",400,14,0.6915305852890015,0.7097540497779846,0.8500000238418579,0.8333333134651184
20251111_164615,ClassicalVariableModel_NoBiases,"[5, 5]",400,15,0.6925775408744812,0.7087265849113464,0.8583333492279053,0.8666666746139526
