timestamp,model_name,hidden_sizes,epochs,run_number,final_train_loss,final_valid_loss,final_train_accuracy,final_valid_accuracy
20251111_165013,ClassicalVariableModel_Relu,"[5, 5]",400,1,0.5717183947563171,0.5808420777320862,0.9833333492279053,1.0
20251111_165013,ClassicalVariableModel_Relu,"[5, 5]",400,2,0.5698368549346924,0.578849732875824,0.9833333492279053,0.9666666388511658
20251111_165013,ClassicalVariableModel_Relu,"[5, 5]",400,3,0.5656605958938599,0.5848484635353088,0.9916666746139526,0.9666666388511658
20251111_165013,ClassicalVariableModel_Relu,"[5, 5]",400,4,0.5648002028465271,0.578240692615509,0.9916666746139526,0.9666666388511658
20251111_165013,ClassicalVariableModel_Relu,"[5, 5]",400,5,0.5654557347297668,0.5887365341186523,0.9916666746139526,0.9666666388511658
20251111_165013,ClassicalVariableModel_Relu,"[5, 5]",400,6,0.5699428915977478,0.5794271230697632,0.9916666746139526,0.9666666388511658
20251111_165013,ClassicalVariableModel_Relu,"[5, 5]",400,7,0.5738112330436707,0.5875871181488037,0.9750000238418579,0.9666666388511658
20251111_165013,ClassicalVariableModel_Relu,"[5, 5]",400,8,0.5679274201393127,0.5943275094032288,0.9916666746139526,0.9333333373069763
20251111_165013,ClassicalVariableModel_Relu,"[5, 5]",400,9,0.5667238235473633,0.5885275602340698,0.9916666746139526,0.9666666388511658
20251111_165013,ClassicalVariableModel_Relu,"[5, 5]",400,10,0.5756368637084961,0.596055269241333,0.9750000238418579,0.9666666388511658
20251111_165013,ClassicalVariableModel_Relu,"[5, 5]",400,11,0.5647982954978943,0.5808244347572327,0.9916666746139526,0.9666666388511658
20251111_165013,ClassicalVariableModel_Relu,"[5, 5]",400,12,0.5687409043312073,0.5925272107124329,0.9916666746139526,0.9333333373069763
20251111_165013,ClassicalVariableModel_Relu,"[5, 5]",400,13,0.5661534667015076,0.5804950594902039,0.9916666746139526,0.9666666388511658
20251111_165013,ClassicalVariableModel_Relu,"[5, 5]",400,14,0.5646819472312927,0.5945244431495667,0.9916666746139526,0.9333333373069763
20251111_165013,ClassicalVariableModel_Relu,"[5, 5]",400,15,0.573939323425293,0.5697832107543945,0.9833333492279053,0.9666666388511658
