timestamp,model_name,hidden_sizes,epochs,run_number,final_train_loss,final_valid_loss,final_train_accuracy,final_valid_accuracy,epochs_to_final_train,epochs_to_final_valid
20251204_153339,ClassicalModel_Ortho_ReLU_NoBias,[2],400,1,0.8638893365859985,0.8693228363990784,0.824999988079071,0.8333333134651184,56,25
20251204_153339,ClassicalModel_Ortho_ReLU_NoBias,[2],400,2,0.8805967569351196,0.8693860173225403,0.6499999761581421,0.7333333492279053,41,36
20251204_153339,ClassicalModel_Ortho_ReLU_NoBias,[2],400,3,0.8802298903465271,0.866791307926178,0.6499999761581421,0.7333333492279053,46,49
20251204_153339,ClassicalModel_Ortho_ReLU_NoBias,[2],400,4,0.8644899129867554,0.867973268032074,0.8166666626930237,0.8333333134651184,66,52
20251204_153339,ClassicalModel_Ortho_ReLU_NoBias,[2],400,5,0.8646841049194336,0.8695870041847229,0.824999988079071,0.8333333134651184,64,32
20251204_153339,ClassicalModel_Ortho_ReLU_NoBias,[2],400,6,0.8639376163482666,0.8687951564788818,0.824999988079071,0.8333333134651184,52,31
20251204_153339,ClassicalModel_Ortho_ReLU_NoBias,[2],400,7,0.8640364408493042,0.8696764707565308,0.8166666626930237,0.8333333134651184,58,56
20251204_153339,ClassicalModel_Ortho_ReLU_NoBias,[2],400,8,0.8639100790023804,0.8685829043388367,0.8333333134651184,0.8333333134651184,58,31
20251204_153339,ClassicalModel_Ortho_ReLU_NoBias,[2],400,9,0.8644707798957825,0.8691019415855408,0.824999988079071,0.8333333134651184,51,48
20251204_153339,ClassicalModel_Ortho_ReLU_NoBias,[2],400,10,0.9341585636138916,0.998645544052124,0.7833333611488342,0.699999988079071,30,20
20251204_153339,ClassicalModel_Ortho_ReLU_NoBias,[2],400,11,0.8639196753501892,0.8684734106063843,0.8333333134651184,0.800000011920929,45,44
20251204_153339,ClassicalModel_Ortho_ReLU_NoBias,[2],400,12,0.880230188369751,0.8685348033905029,0.6499999761581421,0.7333333492279053,40,30
20251204_153339,ClassicalModel_Ortho_ReLU_NoBias,[2],400,13,0.864367663860321,0.86951744556427,0.824999988079071,0.8333333134651184,49,34
20251204_153339,ClassicalModel_Ortho_ReLU_NoBias,[2],400,14,0.880083441734314,0.8691142201423645,0.6499999761581421,0.7333333492279053,53,37
20251204_153339,ClassicalModel_Ortho_ReLU_NoBias,[2],400,15,0.8650469183921814,0.8701960444450378,0.824999988079071,0.8333333134651184,65,46
