timestamp,model_name,hidden_sizes,epochs,run_number,final_train_loss,final_valid_loss,final_train_accuracy,final_valid_accuracy,epochs_to_final_train,epochs_to_final_valid
20251204_121218,ClassicalModel_Ortho_ReLU_Bias,[1],400,1,0.8017566204071045,0.8123824000358582,0.8833333253860474,0.8666666746139526,54,52
20251204_121218,ClassicalModel_Ortho_ReLU_Bias,[1],400,2,0.8022996187210083,0.8145860433578491,0.875,0.8666666746139526,63,42
20251204_121218,ClassicalModel_Ortho_ReLU_Bias,[1],400,3,0.8036133646965027,0.8167714476585388,0.875,0.8666666746139526,85,74
20251204_121218,ClassicalModel_Ortho_ReLU_Bias,[1],400,4,0.8022270798683167,0.8135854005813599,0.8833333253860474,0.8666666746139526,82,68
20251204_121218,ClassicalModel_Ortho_ReLU_Bias,[1],400,5,0.8009054660797119,0.8125030398368835,0.8999999761581421,0.8666666746139526,66,64
20251204_121218,ClassicalModel_Ortho_ReLU_Bias,[1],400,6,0.8022581934928894,0.8152150511741638,0.8833333253860474,0.8666666746139526,64,60
20251204_121218,ClassicalModel_Ortho_ReLU_Bias,[1],400,7,0.8018054962158203,0.8139044046401978,0.875,0.8666666746139526,67,57
20251204_121218,ClassicalModel_Ortho_ReLU_Bias,[1],400,8,0.8018242120742798,0.8146523833274841,0.8833333253860474,0.8666666746139526,88,85
20251204_121218,ClassicalModel_Ortho_ReLU_Bias,[1],400,9,0.8026540875434875,0.8155866861343384,0.875,0.8333333134651184,87,88
20251204_121218,ClassicalModel_Ortho_ReLU_Bias,[1],400,10,0.8019350171089172,0.8146899342536926,0.8833333253860474,0.8666666746139526,64,72
20251204_121218,ClassicalModel_Ortho_ReLU_Bias,[1],400,11,0.8028566837310791,0.8143646121025085,0.8500000238418579,0.8666666746139526,60,64
20251204_121218,ClassicalModel_Ortho_ReLU_Bias,[1],400,12,0.8021708726882935,0.8158570528030396,0.8916666507720947,0.8666666746139526,56,51
20251204_121218,ClassicalModel_Ortho_ReLU_Bias,[1],400,13,0.8054018020629883,0.817900538444519,0.875,0.8333333134651184,147,164
20251204_121218,ClassicalModel_Ortho_ReLU_Bias,[1],400,14,0.8025549650192261,0.8162630200386047,0.875,0.8666666746139526,67,56
20251204_121218,ClassicalModel_Ortho_ReLU_Bias,[1],400,15,0.800860583782196,0.8121337294578552,0.8999999761581421,0.8666666746139526,109,80
