timestamp,model_name,hidden_sizes,epochs,run_number,final_train_loss,final_valid_loss,final_train_accuracy,final_valid_accuracy,epochs_to_final_train,epochs_to_final_valid
20260103_121407,ClassicalModel_Ortho_ReLU_Bias,"[2, 2]",400,1,0.863413393497467,0.8310043215751648,0.8916666507720947,0.8999999761581421,260,207
20260103_121407,ClassicalModel_Ortho_ReLU_Bias,"[2, 2]",400,2,0.8702481389045715,0.8283239603042603,0.75,0.7666666507720947,249,232
20260103_121407,ClassicalModel_Ortho_ReLU_Bias,"[2, 2]",400,3,0.8121206760406494,0.8194501399993896,0.8500000238418579,0.8333333134651184,252,206
20260103_121407,ClassicalModel_Ortho_ReLU_Bias,"[2, 2]",400,4,0.8169206380844116,0.8155661225318909,0.8666666746139526,0.8999999761581421,307,279
20260103_121407,ClassicalModel_Ortho_ReLU_Bias,"[2, 2]",400,5,0.9008285999298096,0.8502872586250305,0.675000011920929,0.7333333492279053,318,320
20260103_121407,ClassicalModel_Ortho_ReLU_Bias,"[2, 2]",400,6,0.8133667707443237,0.8286361694335938,0.8583333492279053,0.8666666746139526,245,251
20260103_121407,ClassicalModel_Ortho_ReLU_Bias,"[2, 2]",400,7,0.8068342804908752,0.815915048122406,0.8999999761581421,0.8666666746139526,183,77
20260103_121407,ClassicalModel_Ortho_ReLU_Bias,"[2, 2]",400,8,0.8153607845306396,0.8225514888763428,0.8500000238418579,0.8333333134651184,286,245
20260103_121407,ClassicalModel_Ortho_ReLU_Bias,"[2, 2]",400,9,0.8676770329475403,0.8271220922470093,0.6666666865348816,0.7333333492279053,143,110
20260103_121407,ClassicalModel_Ortho_ReLU_Bias,"[2, 2]",400,10,0.8598329424858093,0.8239150643348694,0.8583333492279053,0.8666666746139526,252,201
20260103_121407,ClassicalModel_Ortho_ReLU_Bias,"[2, 2]",400,11,0.8114837408065796,0.8180288672447205,0.8666666746139526,0.8333333134651184,221,141
20260103_121407,ClassicalModel_Ortho_ReLU_Bias,"[2, 2]",400,12,0.866685688495636,0.8282855153083801,0.6666666865348816,0.7333333492279053,242,271
20260103_121407,ClassicalModel_Ortho_ReLU_Bias,"[2, 2]",400,13,0.8319033980369568,0.8291995525360107,0.8833333253860474,0.8666666746139526,271,230
20260103_121407,ClassicalModel_Ortho_ReLU_Bias,"[2, 2]",400,14,0.9079663157463074,0.8595132827758789,0.6499999761581421,0.7333333492279053,343,351
20260103_121407,ClassicalModel_Ortho_ReLU_Bias,"[2, 2]",400,15,0.8273528218269348,0.8371705412864685,0.8333333134651184,0.800000011920929,297,280
