timestamp,model_name,hidden_sizes,epochs,run_number,final_train_loss,final_valid_loss,final_train_accuracy,final_valid_accuracy,epochs_to_final_train,epochs_to_final_valid
20260103_124127,ClassicalModel_Ortho_ReLU_Bias,"[3, 3, 3]",400,1,0.8085692524909973,0.8160775303840637,0.9083333611488342,0.8999999761581421,211,205
20260103_124127,ClassicalModel_Ortho_ReLU_Bias,"[3, 3, 3]",400,2,0.8093553185462952,0.8233814835548401,0.8500000238418579,0.8666666746139526,282,302
20260103_124127,ClassicalModel_Ortho_ReLU_Bias,"[3, 3, 3]",400,3,0.8670760989189148,0.8279396891593933,0.6499999761581421,0.7333333492279053,220,258
20260103_124127,ClassicalModel_Ortho_ReLU_Bias,"[3, 3, 3]",400,4,0.8888801336288452,0.8389704823493958,0.6499999761581421,0.7333333492279053,349,359
20260103_124127,ClassicalModel_Ortho_ReLU_Bias,"[3, 3, 3]",400,5,0.8202922940254211,0.8378357291221619,0.9083333611488342,0.8666666746139526,319,335
20260103_124127,ClassicalModel_Ortho_ReLU_Bias,"[3, 3, 3]",400,6,0.8135053515434265,0.8224696516990662,0.8916666507720947,0.8333333134651184,222,129
20260103_124127,ClassicalModel_Ortho_ReLU_Bias,"[3, 3, 3]",400,7,0.8087683916091919,0.8205603361129761,0.875,0.8333333134651184,211,155
20260103_124127,ClassicalModel_Ortho_ReLU_Bias,"[3, 3, 3]",400,8,0.8110923767089844,0.8285319805145264,0.8500000238418579,0.8333333134651184,182,193
20260103_124127,ClassicalModel_Ortho_ReLU_Bias,"[3, 3, 3]",400,9,0.8058423399925232,0.8167922496795654,0.8833333253860474,0.8666666746139526,214,121
20260103_124127,ClassicalModel_Ortho_ReLU_Bias,"[3, 3, 3]",400,10,0.8505523204803467,0.8227618932723999,0.8833333253860474,0.8999999761581421,152,119
20260103_124127,ClassicalModel_Ortho_ReLU_Bias,"[3, 3, 3]",400,11,0.807121992111206,0.8154544234275818,0.8583333492279053,0.8666666746139526,259,254
20260103_124127,ClassicalModel_Ortho_ReLU_Bias,"[3, 3, 3]",400,12,0.8691045641899109,0.8278094530105591,0.7083333134651184,0.7333333492279053,166,128
20260103_124127,ClassicalModel_Ortho_ReLU_Bias,"[3, 3, 3]",400,13,0.8123911023139954,0.8312008380889893,0.8500000238418579,0.8333333134651184,225,250
20260103_124127,ClassicalModel_Ortho_ReLU_Bias,"[3, 3, 3]",400,14,0.8460912704467773,0.8162264227867126,0.8999999761581421,0.8999999761581421,167,144
20260103_124127,ClassicalModel_Ortho_ReLU_Bias,"[3, 3, 3]",400,15,0.8103808164596558,0.8216689825057983,0.8500000238418579,0.8333333134651184,211,158
